dataset,profile_id,layer_id,profile_code,layer_name,longitude,latitude,country_name,region,continent,date,dataset_id,upper_depth,lower_depth,layer_thickness_cm,organic_surface,BDOD,OrgC,TOTC,OrgC_Stock,TOTC_Stock
WOSIS 2023,1283790,630390,04N0317,Oajj,-119.5602798,73.2213897999999,Canada,Northern America,Northern America,2003-6-29,US-NCSS,35,52,17,FALSE,1.28,NA,78.1,NA,169.94559999999998
WOSIS 2023,1283790,630391,04N0317,Bwjj,-119.5602798,73.2213897999999,Canada,Northern America,Northern America,2003-6-29,US-NCSS,52,60,8,FALSE,1.89,NA,43.4,NA,65.6208
WOSIS 2023,1283790,630392,04N0317,Aajjf,-119.5602798,73.2213897999999,Canada,Northern America,Northern America,2003-6-29,US-NCSS,60,75,15,FALSE,1.59,NA,56.5,NA,134.7525
WOSIS 2023,1321702,817923,91P0956,A/Bw,-138.2780609,64.0669479,Canada,Northern America,Northern America,1991-7-1,US-NCSS,17,50,33,FALSE,1.22,58.4,78.7,235.11839999999998,316.8462
WOSIS 2023,1321702,817924,91P0956,Bw1,-138.2780609,64.0669479,Canada,Northern America,Northern America,1991-7-1,US-NCSS,50,67,17,FALSE,1.69,19.4,60.6,55.73619999999998,174.1038
WOSIS 2023,1321702,817925,91P0956,Bw2,-138.2780609,64.0669479,Canada,Northern America,Northern America,1991-7-1,US-NCSS,67,95,28,FALSE,1.93,4.9,56.2,26.479600000000005,303.70480000000003
WOSIS 2023,1321702,817926,91P0956,Bw3,-138.2780609,64.0669479,Canada,Northern America,Northern America,1991-7-1,US-NCSS,95,123,28,FALSE,2.1,4.4,67.9,25.872000000000003,399.25200000000007
WOSIS 2023,1348929,3351342,S3,NA,-112.22241973877,59.5243072509766,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,0,15,15,FALSE,1.48,17.4,19.1,38.628,42.402
WOSIS 2023,1348929,3351343,S3,NA,-112.22241973877,59.5243072509766,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,15,30,15,FALSE,1.76,4.4,4.3,11.616000000000001,11.352
WOSIS 2023,1348929,3351344,S3,NA,-112.22241973877,59.5243072509766,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,30,45,15,FALSE,1.46,1.5999999,2.6,3.503999781,5.694
WOSIS 2023,1348929,3351345,S3,NA,-112.22241973877,59.5243072509766,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,45,60,15,FALSE,1.11,2.1,9.3,3.4965,15.484500000000002
WOSIS 2023,1350602,3351350,S5,NA,-112.205223083496,60.017276763916,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,0,15,15,FALSE,1.17,9.1,8.6,15.970499999999998,15.092999999999998
WOSIS 2023,1350602,3351351,S5,NA,-112.205223083496,60.017276763916,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,15,30,15,FALSE,1.31,2.2,1.5999999,4.323000000000001,3.1439998035
WOSIS 2023,1350602,3351352,S5,NA,-112.205223083496,60.017276763916,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,30,45,15,FALSE,1.28,1.9,1.5999999,3.6479999999999997,3.071999808
WOSIS 2023,1350602,3351353,S5,NA,-112.205223083496,60.017276763916,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,45,60,15,FALSE,1.39,1.4,0.90000004,2.9189999999999996,1.8765000833999999
WOSIS 2023,1352896,600543,04N0310,A,-119.5602798,73.2213897999999,Canada,Northern America,Northern America,2003-6-29,US-NCSS,0,45,45,FALSE,1.26,NA,58.4,NA,331.12800000000004
WOSIS 2023,1385425,3351330,N5,NA,-133.532562255859,68.3169479370117,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,0,15,15,FALSE,0.82,22.4,22.4,27.552,27.552
